,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Spending_Score_encoded
0,458989,female,Yes,36,Yes,Engineer,0.0,Low,1.0,0.0
1,458994,male,Yes,37,Yes,Healthcare,8.0,Average,4.0,1.0
2,458996,female,Yes,69,No,Homemaker,0.0,Low,1.0,0.0
3,459000,male,Yes,59,No,Executive,11.0,High,2.0,2.0
4,459001,female,No,19,No,Marketing,2.0,Low,4.0,0.0
5,459003,male,Yes,47,Yes,Doctor,0.0,High,5.0,2.0
6,459005,male,Yes,61,Yes,Doctor,5.0,Low,3.0,0.0
7,459008,female,Yes,47,Yes,Artist,1.0,Average,3.0,1.0
8,459013,male,Yes,50,Yes,Artist,2.0,Average,4.0,1.0
9,459014,male,No,19,No,Healthcare,0.0,Low,4.0,0.0
10,459015,male,No,22,No,Healthcare,0.0,Low,3.0,0.0
11,459016,female,No,22,No,Healthcare,0.0,Low,6.0,0.0
12,459024,male,Yes,50,Yes,Artist,1.0,Average,5.0,1.0
13,459026,male,No,27,No,Healthcare,8.0,Low,3.0,0.0
14,459032,male,No,18,Yes,Doctor,0.0,Low,3.0,0.0
15,459033,female,Yes,61,Yes,Artist,0.0,Low,1.0,0.0
16,459036,female,Yes,20,Yes,Lawyer,1.0,Average,3.0,1.0
17,459039,male,Yes,45,Yes,Artist,1.0,Average,2.0,1.0
18,459041,male,Yes,55,Yes,Artist,8.0,Low,1.0,0.0
19,459045,female,Yes,88,Yes,Lawyer,1.0,Average,4.0,1.0
20,459056,male,Yes,63,No,Executive,0.0,High,3.0,2.0
21,459057,male,Yes,69,Yes,Lawyer,0.0,High,3.0,2.0
22,459058,male,No,42,Yes,Artist,0.0,Low,4.0,0.0
23,459059,male,Yes,79,No,Executive,8.0,High,2.0,2.0
24,459061,female,Yes,35,Yes,Healthcare,9.0,High,3.0,2.0
25,459064,male,Yes,27,No,Executive,5.0,High,4.0,2.0
26,459065,male,Yes,52,Yes,Engineer,0.0,Low,2.0,0.0
27,459074,female,No,29,Yes,Healthcare,0.0,Low,4.0,0.0
28,459077,female,Yes,79,Yes,Lawyer,1.0,High,2.0,2.0
29,459079,male,Yes,87,Yes,Lawyer,8.0,High,2.0,2.0
30,459080,male,Yes,89,Yes,Lawyer,1.0,Low,2.0,0.0
31,459083,male,Yes,63,Yes,Artist,9.0,Average,3.0,1.0
32,459090,male,No,31,No,Artist,1.0,Low,2.0,0.0
33,459091,male,Yes,72,Yes,Artist,1.0,Average,6.0,1.0
34,459093,female,Yes,41,Yes,Doctor,9.0,Average,2.0,1.0
35,459100,female,No,61,Yes,Artist,11.0,Low,1.0,0.0
36,459106,male,Yes,62,Yes,Artist,0.0,Low,2.0,0.0
37,459114,male,Yes,56,Yes,Artist,1.0,Average,2.0,1.0
38,459116,male,Yes,60,Yes,Artist,2.0,Average,5.0,1.0
39,459117,male,Yes,68,Yes,Artist,0.0,High,2.0,2.0
40,459118,male,No,19,No,Healthcare,7.0,Low,8.0,0.0
41,459119,male,Yes,57,Yes,Executive,8.0,High,3.0,2.0
42,459120,male,No,19,No,Healthcare,5.0,Low,5.0,0.0
43,459121,female,Yes,51,Yes,Artist,3.0,Average,6.0,1.0
44,459123,female,Yes,86,No,Artist,1.0,High,2.0,2.0
45,459130,female,Yes,74,Yes,Lawyer,1.0,High,2.0,2.0
46,459132,male,No,23,No,Entertainment,6.0,Low,2.0,0.0
47,459136,male,Yes,47,Yes,Artist,0.0,Average,2.0,1.0
48,459140,female,No,19,No,Healthcare,7.0,Low,6.0,0.0
49,459143,male,Yes,50,No,Artist,0.0,High,4.0,2.0
50,459144,male,Yes,80,Yes,Lawyer,1.0,High,2.0,2.0
51,459145,male,Yes,78,Yes,Lawyer,1.0,Low,1.0,0.0
52,459150,female,No,48,Yes,Doctor,0.0,Low,1.0,0.0
53,459160,male,Yes,70,Yes,Doctor,1.0,Average,2.0,1.0
54,459161,male,Yes,50,Yes,Executive,3.0,High,5.0,2.0
55,459162,female,Yes,83,Yes,Lawyer,0.0,High,2.0,2.0
56,459163,male,No,35,Yes,Entertainment,0.0,Low,1.0,0.0
57,459167,female,No,36,Yes,Artist,0.0,Low,2.0,0.0
58,459170,female,No,35,Yes,Artist,1.0,Low,1.0,0.0
59,459171,male,Yes,35,Yes,Artist,0.0,Average,2.0,1.0
60,459172,male,No,18,No,Healthcare,3.0,Low,3.0,0.0
61,459175,female,Yes,73,Yes,Artist,1.0,Average,2.0,1.0
62,459181,male,Yes,62,No,Artist,1.0,High,3.0,2.0
63,459182,female,Yes,46,Yes,Artist,1.0,Average,2.0,1.0
64,459184,male,Yes,43,Yes,Entertainment,0.0,Low,4.0,0.0
65,459185,female,No,32,Yes,Entertainment,7.0,Low,1.0,0.0
66,459193,male,No,39,Yes,Artist,0.0,Low,1.0,0.0
67,459194,female,Yes,89,Yes,Lawyer,0.0,High,2.0,2.0
68,459196,female,No,18,No,Healthcare,0.0,Low,3.0,0.0
69,459208,female,Yes,57,Yes,Artist,0.0,High,2.0,2.0
70,459209,female,No,18,No,Entertainment,0.0,Low,4.0,0.0
71,459210,female,Yes,71,Yes,Artist,1.0,High,2.0,2.0
72,459212,female,Yes,69,Yes,Artist,0.0,Average,2.0,1.0
73,459213,female,No,42,Yes,Healthcare,0.0,Low,4.0,0.0
74,459216,female,No,36,Yes,Artist,0.0,Low,2.0,0.0
75,459220,female,Yes,80,Yes,Lawyer,1.0,High,2.0,2.0
76,459221,male,Yes,69,No,Entertainment,6.0,Low,1.0,0.0
77,459222,female,Yes,67,Yes,Artist,0.0,Average,3.0,1.0
78,459223,female,Yes,47,Yes,Doctor,1.0,Average,4.0,1.0
79,459224,female,Yes,49,Yes,Artist,0.0,Average,2.0,1.0
80,459227,female,Yes,32,No,Engineer,9.0,Low,4.0,0.0
81,459229,female,Yes,65,Yes,Lawyer,1.0,Average,4.0,1.0
